route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_color,route_text_color
11,2,"11","","GNIEWOWO SPACEROWA 01 - Gniewowo/Wejhera - Wejherowo/Roszczynialskiego - Wejherowo/Sikorskiego - Wejherowo/12 Marca - Wejherowo/Rybacka - Wejherowo/Prusa - Wejherowo/Pomorska - Wejherowo/I Brygady Pancernej WP - WEJHEROWO DWORZEC PKP 03|WEJHEROWO PRZEMYSŁOWA 02 - Wejherowo/Pomorska - Wejherowo/Prusa - Wejherowo/Rybacka - Wejherowo/Myśliwska - Wejherowo/Roszczynialskiego - Gniewowo/Wejhera - GNIEWOWO SPACEROWA 01|WEJHEROWO PRZEMYSŁOWA 02 - Wejherowo/I Brygady Pancernej WP - Wejherowo/Pomorska - Wejherowo/Prusa - Wejherowo/Rybacka - Wejherowo/Myśliwska - Wejherowo/Roszczynialskiego - Gniewowo/Wejhera - GNIEWOWO SPACEROWA 01",3,1C3775,FFFFFF
12,2,"12","","GOWINO BRZOZOWA 01 - Gowino/Wejherowska - Gowino/Strzelecka - Wejherowo/3 Maja - Wejherowo/Sobieskiego - Wejherowo/Dworcowa - Wejherowo/10 Lutego - WEJHEROWO DWORZEC PKP 01|WEJHEROWO DWORZEC PKP 02 - Wejherowo/Plac Piłsudskiego - Wejherowo/Dworcowa - Wejherowo/Sobieskiego - Wejherowo/3 Maja - Wejherowo/Strzelecka - Gowino/Strzelecka - Gowino/Wejherowska - GOWINO BRZOZOWA 01",3,972D45,FFFFFF
13,2,"13","","KĄPINO PARKOWA 01 - Kąpino/Parkowa - Kąpino/Wierzbowa - Wejherowo/Chopina - Wejherowo/I Brygady Pancernej WP - WEJHEROWO DWORZEC PKP 03|WEJHEROWO PRZEMYSŁOWA 02 - Wejherowo/Chopina - Kąpino/Wierzbowa - Kąpino/Parkowa - KĄPINO PARKOWA 01|WEJHEROWO PRZEMYSŁOWA 02 - Wejherowo/I Brygady Pancernej WP - Wejherowo/Chopina - Kąpino/Wierzbowa - Kąpino/Parkowa - KĄPINO PARKOWA 01",3,FF3EB5,FFFFFF
14,2,"14","","WEJHEROWO DWORZEC PKP 04 - Wejherowo/I Brygady Pancernej WP - Bolszewo/Zamostna - Orle/Zamostna - Orle/Wejhera - Orle/Szkolna - ORLE SZKOŁA 01|ORLE SZKOŁA 01 - Orle/Wejhera - Orle/Zamostna - Bolszewo/Zamostna - Wejherowo/I Brygady Pancernej WP - WEJHEROWO DWORZEC PKP 04",3,D59C2D,FFFFFF
16,2,"16","","WEJHEROWO KROFEYA 01 - Wejherowo/Krofeya - Wejherowo/Sucharskiego - Wejherowo/Sobieskiego - Wejherowo/Mickiewicza - Wejherowo/Reformatów - Wejherowo/12 Marca - Wejherowo/Sikorskiego - Wejherowo/Sędzickiego - Wejherowo/Obrońców Westerplatte - WEJHEROWO OBROŃCÓW WESTERPLATTE 92|WEJHEROWO OBROŃCÓW WESTERPLATTE 92 - Wejherowo/Paderewskiego - Wejherowo/Sikorskiego - Wejherowo/12 Marca - Wejherowo/Rzeźnicka - Wejherowo/Świętego Jana - Wejherowo/Sobieskiego - Wejherowo/Sucharskiego - Wejherowo/Kotłowskiego - Wejherowo/Krofeya - WEJHEROWO KROFEYA 01|WEJHEROWO OBROŃCÓW WESTERPLATTE 92 - Wejherowo/Obrońców Westerplatte - Wejherowo/Paderewskiego - Wejherowo/Sikorskiego - Wejherowo/12 Marca - Wejherowo/Rzeźnicka - Wejherowo/Świętego Jana - Wejherowo/Sobieskiego - Wejherowo/Sucharskiego - Wejherowo/Kotłowskiego - Wejherowo/Krofeya - WEJHEROWO KROFEYA 01",3,978B82,FFFFFF
17,2,"17","","REDA CMENTARZ 02 - Reda/Gniewowska - Reda/Konopnickiej - Reda/Gniewowska - Reda/Łąkowa - Reda/Obwodowa - Reda/Młyńska - Reda/Gdańska - REDA DWORZEC PKP 04|REDA DWORZEC PKP 03 - Reda/Młyńska - Reda/Obwodowa - Reda/Łąkowa - Reda/Gniewowska - Reda/Konopnickiej - Reda/Gniewowska - REDA CMENTARZ 01|REDA DWORZEC PKP 03 - Reda/Gdańska - Reda/Młyńska - Reda/Obwodowa - Reda/Łąkowa - Reda/Gniewowska - Reda/Konopnickiej - Reda/Gniewowska - REDA CMENTARZ 01",3,F3D483,3C3C3B
18,2,"18","","REDA DWORZEC PKP 01 - Reda/Gdańska - Reda/Łąkowa - Reda/Obwodowa - Reda/Kazimierska - Reda/Polna - Reda/12 Marca - Reda/Pucka - Reda/Nowa - Reda/Wrzosowa - Reda/Obwodowa - Reda/Łąkowa - Reda/Gdańska - REDA DWORZEC PKP 04|REDA DWORZEC PKP 01 - Reda/Łąkowa - Reda/Obwodowa - Reda/Kazimierska - Reda/Polna - Reda/12 Marca - Reda/Pucka - Reda/Nowa - Reda/Wrzosowa - Reda/Obwodowa - Reda/Łąkowa - Reda/Gdańska - REDA DWORZEC PKP 04",3,4BB276,FFFFFF
A,2,"A","","WEJHEROWO CMENTARZ 01 - Wejherowo/Roszczynialskiego - Wejherowo/Wniebowstąpienia - Wejherowo/Rzeźnicka - Wejherowo/Świętego Jana - Wejherowo/Sobieskiego - Wejherowo/10 Lutego - WEJHEROWO DWORZEC PKP 01|WEJHEROWO DWORZEC PKP 02 - Wejherowo/Plac Piłsudskiego - Wejherowo/Sobieskiego - Wejherowo/Mickiewicza - Wejherowo/Reformatów - Wejherowo/Wniebowstąpienia - Wejherowo/Roszczynialskiego - WEJHEROWO CMENTARZ 02",3,DD4124,FFFFFF
B,2,"B","","WEJHEROWO CMENTARZ 01 - Wejherowo/Rybacka - Wejherowo/Necla - Wejherowo/Gryfa Pomorskiego - Wejherowo/Fenikowskiego - WEJHEROWO OS. FENIKOWSKIEGO 01|WEJHEROWO OS. FENIKOWSKIEGO 01 - Wejherowo/Gryfa Pomorskiego - Wejherowo/Necla - Wejherowo/Rybacka - Wejherowo/Roszczynialskiego - WEJHEROWO CMENTARZ 02",3,8EDD65,FFFFFF
C,2,"C","","WEJHEROWO CMENTARZ 01 - Wejherowo/Rybacka - Wejherowo/Prusa - Wejherowo/Pomorska - WEJHEROWO POMORSKA 01|WEJHEROWO POMORSKA 02 - Wejherowo/Prusa - Wejherowo/Rybacka - Wejherowo/Roszczynialskiego - WEJHEROWO CMENTARZ 02",3,5B5EA6,FFFFFF
D,2,"D","","WEJHEROWO CMENTARZ 01 - Wejherowo/Rybacka - Wejherowo/Prusa - Wejherowo/Pomorska - Wejherowo/Partyzantów - Wejherowo/Chopina - Wejherowo/Nadrzeczna - Wejherowo/Lelewela - Wejherowo/Graniczna - Wejherowo/Przemysłowa - WEJHEROWO KARNOWSKIEGO 02|WEJHEROWO KARNOWSKIEGO 02 - Wejherowo/Graniczna - Wejherowo/Lelewela - Wejherowo/Nadrzeczna - Wejherowo/Chopina - Wejherowo/Partyzantów - Wejherowo/Pomorska - Wejherowo/Prusa - Wejherowo/Rybacka - Wejherowo/Roszczynialskiego - WEJHEROWO CMENTARZ 02|WEJHEROWO KARNOWSKIEGO 02 - Wejherowo/Przemysłowa - Wejherowo/Graniczna - Wejherowo/Lelewela - Wejherowo/Nadrzeczna - Wejherowo/Chopina - Wejherowo/Partyzantów - Wejherowo/Pomorska - Wejherowo/Prusa - Wejherowo/Rybacka - Wejherowo/Roszczynialskiego - WEJHEROWO CMENTARZ 02",3,EAB054,FFFFFF
E,2,"E","","REDA CMENTARZ 02 - Reda/Gniewowska - Reda/Łąkowa - Reda/Obwodowa - Reda/Kazimierska - Reda/Pucka - REDA CIECHOCINO 03|REDA CIECHOCINO 04 - Reda/Nowa - Reda/Wrzosowa - Reda/Obwodowa - Reda/Łąkowa - Reda/Gniewowska - REDA CMENTARZ 01",3,F58FC7,FFFFFF
