stop_id,stop_code,stop_name,stop_lat,stop_lon
99,1-124-01,"Wejherowo Nowowiejskiego 01 n/ż",54.6153250000,18.2538690000
100,1-124-02,"Wejherowo Nowowiejskiego 02 n/ż",54.6159880000,18.2538960000
101,1-125-01,"Wejherowo Kąpino Dolne 01 n/ż",54.6227430000,18.2624960000
102,1-125-02,"Wejherowo Kąpino Dolne 02 n/ż",54.6223110000,18.2617280000
103,2-532-02,"Kąpino Kościół 02",54.6291110000,18.2534800000
104,2-531-02,"Kąpino Klonowa 02",54.6308840000,18.2597450000
105,2-531-01,"Kąpino Klonowa 01",54.6308860000,18.2591210000
106,1-144-02,"Wejherowo Pomorska 02",54.6058460000,18.2517260000
107,1-144-01,"Wejherowo Pomorska 01",54.6059860000,18.2526290000
108,1-145-02,"Wejherowo Kochanowskiego 02",54.6060590000,18.2479080000
109,1-145-01,"Wejherowo Kochanowskiego 01",54.6062230000,18.2479410000
110,1-143-01,"Wejherowo Prusa - Szkoła 01",54.6064580000,18.2584610000
111,1-143-02,"Wejherowo Prusa - Szkoła 02",54.6062090000,18.2580560000
112,1-142-01,"Wejherowo Necla 01",54.6068170000,18.2610100000
113,1-142-02,"Wejherowo Necla 02",54.6064010000,18.2619360000
114,1-106-04,"Wejherowo Rybacka 04",54.6042380000,18.2615280000
115,1-106-03,"Wejherowo Rybacka 03",54.6044350000,18.2617620000
116,1-106-01,"Wejherowo Rybacka 01",54.6036190000,18.2607220000
117,1-106-02,"Wejherowo Rybacka 02",54.6032200000,18.2623700000
118,1-107-02,"Wejherowo Kociewska SKM Nanice 02",54.6036940000,18.2528290000
119,1-107-03,"Wejherowo Kociewska SKM Nanice 03",54.6043670000,18.2527410000
120,1-107-01,"Wejherowo Kociewska SKM Nanice 01",54.6042070000,18.2528990000
121,1-231-01,"Wejherowo 12 Marca - Myśliwska 01",54.6021240000,18.2553860000
123,1-256-01,"Wejherowo Pułkownika Dąbka 01",54.6015430000,18.2548050000
124,1-256-02,"Wejherowo Pułkownika Dąbka 02",54.6013800000,18.2547450000
125,1-232-02,"Wejherowo 12 Marca - Judyckiego 02",54.6018130000,18.2466780000
127,1-242-02,"Wejherowo Reformatów 02",54.6004980000,18.2436540000
129,1-234-01,"Wejherowo Świętego Jana 01",54.6039110000,18.2406340000
130,1-225-01,"Wejherowo Wniebowstąpienia 01",54.5999580000,18.2447940000
131,1-225-02,"Wejherowo Wniebowstąpienia 02",54.5996060000,18.2446890000
132,1-224-02,"Wejherowo Wysoka 02",54.5989060000,18.2536990000
133,1-224-01,"Wejherowo Wysoka 01",54.5989960000,18.2538030000
134,1-223-01,"Wejherowo Południowa 01 n/ż",54.5987840000,18.2584100000
135,1-223-02,"Wejherowo Południowa 02 n/ż",54.5986890000,18.2589420000
136,1-222-02,"Wejherowo Cmentarz 02",54.5984480000,18.2693470000
137,1-222-01,"Wejherowo Cmentarz 01",54.5986840000,18.2657230000
138,1-221-02,"Wejherowo Odrębna 02",54.5983580000,18.2723490000
139,1-221-01,"Wejherowo Odrębna 01",54.5987350000,18.2713810000
140,1-255-01,"Wejherowo Wąska 01",54.6014710000,18.2603700000
141,1-255-02,"Wejherowo Wąska 02",54.6012840000,18.2614150000
142,1-254-01,"Wejherowo Leśna 01",54.6013740000,18.2663880000
143,1-254-02,"Wejherowo Leśna 02",54.6011860000,18.2678550000
146,1-251-01,"Wejherowo os. Sikorskiego 01",54.6013130000,18.2812230000
147,1-201-01,"Wejherowo Cegielnia 01",54.5873110000,18.2493380000
148,1-202-01,"Wejherowo Marynarki Wojennej 01",54.5912900000,18.2406690000
149,1-202-02,"Wejherowo Marynarki Wojennej 02",54.5896400000,18.2436950000
150,1-203-01,"Wejherowo Sportowa 01 n/ż",54.5973500000,18.2323610000
151,1-203-02,"Wejherowo Sportowa 02 n/ż",54.5968940000,18.2322930000
152,1-204-02,"Wejherowo Starostwo Powiatowe 02",54.6011100000,18.2332320000
153,1-204-01,"Wejherowo Starostwo Powiatowe 01",54.6010740000,18.2334680000
154,2-511-02,"Gowino Zaciszne Zalesie 02 n/ż",54.5908210000,18.2052130000
155,2-511-01,"Gowino Zaciszne Zalesie 01 n/ż",54.5910070000,18.2054250000
156,2-512-02,"Gowino Pętkowice Grubby 02 n/ż",54.5867640000,18.2033700000
157,2-512-01,"Gowino Pętkowice Grubby 01 n/ż",54.5859200000,18.2031220000
158,2-444-01,"Bolszewo Paradyż 01 n/ż",54.6300860000,18.1496960000
159,2-444-02,"Bolszewo Paradyż 02 n/ż",54.6289010000,18.1516980000
160,2-445-01,"Góra Szeroka 01 n/ż",54.6344230000,18.1408330000
161,2-445-02,"Góra Szeroka 02 n/ż",54.6350050000,18.1392040000
162,2-446-01,"Góra Jeziorna 01 n/ż",54.6360280000,18.1362160000
164,2-448-02,"Góra Szkolna 02",54.6312170000,18.1130130000
165,2-447-01,"Góra Kościół 01",54.6327890000,18.1174090000
166,2-447-02,"Góra Kościół 02",54.6326310000,18.1169600000
168,1-105-02,"Wejherowo Reja 02 n/ż",54.6028390000,18.2679760000
169,1-104-02,"Wejherowo Ceynowy SKM Śmiechowo 02",54.6024250000,18.2750440000
170,1-104-01,"Wejherowo Ceynowy SKM Śmiechowo 01",54.6027530000,18.2765050000
172,1-103-02,"Wejherowo Gdańska - ""ZRYW"" 02",54.6026330000,18.2848890000
173,1-102-01,"Wejherowo Gdańska 01 n/ż",54.6033320000,18.2908550000
174,1-102-02,"Wejherowo Gdańska 02 n/ż",54.6030030000,18.2900500000
175,3-728-02,"Reda Warzywnicza 02 n/ż",54.6038700000,18.3068960000
176,3-728-01,"Reda Warzywnicza 01 n/ż",54.6035860000,18.3038090000
177,3-727-01,"Reda SKM Pieleszewo 01 n/ż",54.6049230000,18.3155870000
178,3-727-02,"Reda SKM Pieleszewo 02 n/ż",54.6044590000,18.3194100000
179,3-725-01,"Reda Rzemieślnicza 01 n/ż",54.6050940000,18.3370020000
180,3-725-02,"Reda Rzemieślnicza 02 n/ż",54.6051380000,18.3395410000
181,3-726-01,"Reda Wejherowska 01 n/ż",54.6043820000,18.3280500000
182,3-726-02,"Reda Wejherowska 02 n/ż",54.6041560000,18.3285490000
183,3-724-02,"Reda Gdańska - Kościół 02",54.6044880000,18.3479830000
184,3-761-02,"Reda Łąkowa - Ośr. Zdrowia 02",54.6033430000,18.3502300000
185,3-761-01,"Reda Łąkowa - Ośr. Zdrowia 01",54.6031850000,18.3499340000
186,3-762-01,"Reda Łąkowa - Osiedle 01",54.6028920000,18.3565760000
187,3-762-02,"Reda Łąkowa - Osiedle 02",54.6031320000,18.3551350000
188,3-763-01,"Reda Cicha 01 n/ż",54.6027970000,18.3621940000
189,3-763-02,"Reda Cicha 02 n/ż",54.6028970000,18.3616060000
190,3-764-01,"Reda Rolnicza 01",54.6069710000,18.3637110000
191,3-764-02,"Reda Rolnicza 02",54.6068760000,18.3634270000
192,3-765-01,"Reda Mostowa 01 n/ż",54.6090540000,18.3636780000
193,3-765-02,"Reda Mostowa 02 n/ż",54.6086200000,18.3634560000
194,3-766-02,"Reda Wrzosowa 02",54.6115340000,18.3598450000
197,3-742-02,"Reda Pucka - Nowa 02",54.6099200000,18.3489840000
198,3-742-01,"Reda Pucka - Nowa 01",54.6111290000,18.3488360000
199,3-743-04,"Reda Ciechocino 04",54.6158850000,18.3458350000
200,3-753-02,"Reda Graniczna 02",54.6262830000,18.3526380000
201,3-753-01,"Reda Graniczna 01",54.6258820000,18.3523010000
202,3-752-02,"Reda Harcerska 02 n/ż",54.6219350000,18.3479510000
203,3-752-01,"Reda Harcerska 01 n/ż",54.6218030000,18.3480430000
204,3-754-02,"Reda Podleśna 02",54.6285350000,18.3554720000
205,3-754-01,"Reda Podleśna 01",54.6293890000,18.3566990000
206,3-755-01,"Reda Rekowo 01",54.6318430000,18.3597390000
207,3-723-01,"Reda Gdańska - Szkolna 01",54.5989980000,18.3522630000
208,3-722-03,"Reda Dworzec PKP 03",54.5952350000,18.3535920000
209,5-714-01,"Rumia Dolna 01 n/ż",54.5880970000,18.3607060000
210,3-723-02,"Reda Gdańska - Cmentarz 02",54.6005090000,18.3508320000
211,1-231-02,"Wejherowo 12 Marca - Myśliwska 02",54.6020840000,18.2559470000
213,4-612-02,"Kębłowo Leśna 02",54.5948980000,18.1098070000
214,4-601-01,"Kębłowo Wiejska 01",54.5937970000,18.1185080000
215,2-514-01,"Gowino Szkoła 01",54.5749150000,18.2010960000
216,2-513-02,"Gowino Kościół 02",54.5783850000,18.2004830000
217,2-513-01,"Gowino Kościół 01",54.5779480000,18.2006800000
220,5-712-02,"Rumia Chełmońskiego 02",54.5779720000,18.3753250000
221,5-712-01,"Rumia Chełmońskiego 01",54.5787770000,18.3733330000
222,5-711-01,"Rumia Grunwaldzka - Ceynowy 01 n/ż",54.5756880000,18.3786630000
223,5-710-06,"Rumia Dworzec PKP 06",54.5695620000,18.3871690000
224,3-721-01,"Reda Obwodowa 01 n/ż",54.5902380000,18.3588170000
225,2-521-01,"Gniewowo Leśniczówka 01 n/ż",54.5785780000,18.2919430000
226,2-521-02,"Gniewowo Leśniczówka 02 n/ż",54.5781020000,18.2926540000
227,2-522-01,"Gniewowo Ogrodowa 01 n/ż",54.5753160000,18.3013240000
228,2-522-02,"Gniewowo Ogrodowa 02 n/ż",54.5752440000,18.3012570000
229,2-523-01,"Gniewowo Spacerowa 01",54.5741900000,18.3089590000
231,2-411-01,"Bolszewo Łąkowa 01",54.6153240000,18.1973360000
232,2-411-02,"Bolszewo Łąkowa 02",54.6151640000,18.1971730000
233,3-756-01,"Reda Lipowa 01 n/ż",54.6342950000,18.3670130000
234,3-756-02,"Reda Lipowa 02 n/ż",54.6338190000,18.3662230000
235,2-514-02,"Gowino Szkoła 02",54.5761400000,18.2003050000
236,1-162-02,"Wejherowo Graniczna 02",54.6097970000,18.2266090000
237,1-184-02,"Wejherowo Niska 02 n/ż",54.6112920000,18.2304400000
238,1-183-02,"Wejherowo Okrężna 02 n/ż",54.6115690000,18.2331860000
239,1-183-01,"Wejherowo Okrężna 01 n/ż",54.6117490000,18.2316830000
240,1-182-02,"Wejherowo Nanicka 02",54.6099890000,18.2382570000
241,1-182-01,"Wejherowo Nanicka 01",54.6102640000,18.2377620000
245,1-142-04,"Wejherowo Necla 04",54.6068950000,18.2631800000
246,1-272-02,"Wejherowo Konopnickiej 02",54.6072690000,18.2688430000
247,1-272-01,"Wejherowo Konopnickiej 01",54.6074930000,18.2670670000
248,1-273-01,"Wejherowo Chmielewskiego 01",54.6073890000,18.2709210000
251,1-208-03,"Wejherowo Dom Działkowca 03",54.6043890000,18.2123250000
252,1-112-01,"Wejherowo Urząd Pracy 01 n/ż",54.6083810000,18.2110100000
253,2-415-01,"Bolszewo Zamostna - OSP 01",54.6148170000,18.1772570000
254,2-441-02,"Bolszewo Leszczynowa 02",54.6183500000,18.1731810000
255,2-415-02,"Bolszewo Strażacka 02",54.6163440000,18.1763530000
256,1-263-01,"Wejherowo os. Fenikowskiego 01",54.6109420000,18.2931710000
257,1-261-01,"Wejherowo Gryfa Pomorskiego 01",54.6062990000,18.2976820000
258,1-101-04,"Wejherowo Śmiechowo Ogrodowa 04",54.6040930000,18.2994880000
259,1-101-01,"Wejherowo Śmiechowo Ogrodowa 01",54.6031370000,18.2982370000
260,1-101-02,"Wejherowo Śmiechowo Ogrodowa 02",54.6028320000,18.3007330000
262,3-743-02,"Reda Ciechocino 02",54.6160210000,18.3450320000
263,3-722-02,"Reda Dworzec PKP 02",54.5952520000,18.3542070000
264,3-722-01,"Reda Dworzec PKP 01",54.5950490000,18.3548630000
265,3-794-01,"Reda Gniewowska - Szkoła 01",54.5966510000,18.3439760000
266,3-794-02,"Reda Gniewowska - Szkoła 02",54.5965220000,18.3439790000
268,3-798-02,"Reda Konopnickiej 02 n/ż",54.5988550000,18.3456760000
269,3-798-01,"Reda Konopnickiej 01 n/ż",54.5989150000,18.3457700000
270,3-791-01,"Reda Gniewowska 01",54.6013490000,18.3489420000
271,3-791-02,"Reda Gniewowska 02",54.6009790000,18.3488990000
272,3-783-01,"Reda Szkolna 01 n/ż",54.5993380000,18.3637160000
273,3-783-02,"Reda Szkolna 02 n/ż",54.5988240000,18.3634000000
274,2-406-04,"Gościcino Równa 04",54.6023810000,18.1360570000
279,4-616-02,"Kochanowo Wieś 02",54.6056790000,18.1054200000
280,4-613-01,"Kębłowo Kościół 01",54.5970810000,18.0978980000
281,4-601-02,"Kębłowo Wiejska 02",54.5946840000,18.1217780000
282,4-612-01,"Kębłowo Leśna 01",54.5950740000,18.1092360000
283,4-613-02,"Kębłowo Kościół 02",54.5960010000,18.0990960000
284,4-615-01,"Kochanowo 01 n/ż",54.6049130000,18.1029180000
285,4-616-01,"Kochanowo Wieś 01",54.6054240000,18.1066920000
289,1-207-01,"Wejherowo Transportowa 01",54.6035290000,18.2199670000
290,1-232-01,"Wejherowo 12 Marca - Judyckiego 01",54.6019510000,18.2475370000
292,2-451-02,"Bolszewo Leśna - Szkoła 02",54.6159640000,18.1627500000
294,2-515-01,"Gowino Brzozowa 01",54.5675620000,18.1947210000
295,2-423-01,"Orle Łąkowa 01",54.6404960000,18.1699650000
296,2-423-02,"Orle Łąkowa 02",54.6403790000,18.1699470000
297,2-433-01,"Orle Krótka 01 n/ż",54.6355120000,18.1666020000
298,2-433-02,"Orle Krótka 02 n/ż",54.6352700000,18.1655230000
299,2-432-02,"Orle Kwiatowa 02",54.6332520000,18.1589750000
300,2-432-01,"Orle Kwiatowa 01",54.6333380000,18.1595730000
301,3-755-02,"Reda Rekowo 02",54.6319890000,18.3597500000
302,3-758-02,"Reda Rekowo Lipowa 02",54.6386570000,18.3724450000
303,3-724-01,"Reda Gdańska - Kościół 01",54.6025880000,18.3498590000
304,1-180-02,"Wejherowo Węzeł Działki 02 n/ż",54.6059790000,18.2116100000
306,3-772-02,"Reda Jaśminowa 02",54.6147830000,18.3390680000
314,1-275-02,"Wejherowo Dzięcielskiego 02",54.6064980000,18.2855840000
317,1-123-03,"Wejherowo Szpitalna 03 n/ż",54.6134050000,18.2494490000
318,1-129-02,"Wejherowo Szpital 02",54.6148520000,18.2454050000
319,2-401-04,"Bolszewo Zamostna 04",54.6102780000,18.1825020000
320,2-431-01,"Orle Topolowa 01 n/ż",54.6316710000,18.1481530000
321,2-431-02,"Orle Topolowa 02 n/ż",54.6316670000,18.1478720000
322,1-210-03,"Wejherowo Zibertowo 03",54.6032320000,18.1953920000
323,2-476-01,"Gościcino Fiołkowa 01",54.5980160000,18.1898110000
324,2-476-02,"Gościcino Fiołkowa 02",54.5976050000,18.1888250000
325,2-475-01,"Gościcino Grubby 01",54.5958210000,18.1771330000
327,2-475-02,"Gościcino Grubby 02",54.5958810000,18.1786630000
329,1-235-01,"Wejherowo Dworzec PKP 01",54.6052350000,18.2304790000
330,5-730-01,"Rumia C.H. ""Port Rumia"" 01",54.5842960000,18.3745570000
331,5-731-02,"Rumia Jeziorna 02 n/ż",54.5875300000,18.3738360000
332,5-731-01,"Rumia Jeziorna 01 n/ż",54.5882370000,18.3721910000
